,LISACBE,TwinLISA,LISAGrande,LISAU,GoBIGLISA,ALIA,ALIAtwin,GoBIGALIA
"1a-1a: ['2.1.b', '2.3.b']",2.485916725764953,0.029375583830553435,0.04548494822247514,0.007182858520237042,0.0006459291381554933,7.999476501448606,0.018905781992745434,0.0006301927331479934
1a-1b: ['1.1.f'],341.0526015521911,241.16060729886797,397.8738892524348,1304.622673427527,355.6094066999374,19.876171124653673,14.05457538626686,14.05457538626686
1a-1c: ['1.2.c'],69.43262510097537,49.09628004448299,80.54988585230416,264.106603230467,72.09340246499137,4.3552239639068455,3.079608398464686,3.079608398464686
1a-1e: ['1.3.g'],57.974864678952905,39.870210765461465,67.63678695141562,216.78433552813954,59.01434086100695,3.030327714270315,2.142765275978071,2.142765275978071
"1a-2a: ['2.1.f', '2.3.c']",180.80881071707626,2.1365840963894316,3.232332110442435,0.4482054137522035,0.052074473059355156,389.4542039251676,0.9204279676350458,0.030680932257512943
1a-2b: ['1.3.f'],4481.700282323959,2567.9106519634774,3826.774804329363,7937.669384523473,180.4495426176633,646.9987026870829,327.31387900493024,15.615970321536953
1a-2c: ['1.1.g'],139709.68964290767,80784.83338706405,161410.2567127498,337305.89209788485,6884.850084898557,8304.059229709177,4780.855610095813,274.48253713975623
1a-2d: ['1.2.d'],52459.84995291933,30297.08320828178,59655.684647860005,124410.4198525759,2546.634782351807,3598.7718976212727,2054.8485630754726,116.11753599164808
"1a-2f: ['3.1.b', '3.2.b', '3.3.f', '3.4.b']",241.96623853219617,112.66063707306424,28.674673934934606,23.48461176408302,3.1061432514613716,221.98163680154215,90.45008432277002,3.68906149461674
"1a-2g: ['5.1.e', '5.2.d', '5.3.d', '5.4.d', '5.5.d', '5.6.b', '5.7.b']",516.8240376909133,164.48659517495628,89.8757959207589,16.833735801748425,4.336713069826364,211.4623278654249,24.188000604003463,0.809293338677935
1a-3c: ['1.1.h'],2328.4948273817945,1346.4138897844007,2690.170945212497,5621.764868298082,1189.051266213144,138.40098716181961,79.68092683493022,53.3937650833774
1a-3d: ['1.2.e'],874.3308325486555,504.95138680469637,994.2614107976668,2073.506997542932,292.37069065665247,59.97953162702122,34.24747605125788,16.256922930915298
1a-4b: ['1.1.i'],1148.732349586162,812.2764341607309,1327.1408575522578,4351.233319411206,1189.051266213144,75.51018672707532,53.3937650833774,53.3937650833774
"1b-1a: ['2.1.c', '2.1.d', '2.1.e']",7.4881971116485575,0.08848651623507812,0.10774440368141451,0.014940180458406786,0.0017667211902410703,30.31335057882623,0.07164194032839481,0.0023880646778467645
"1b-1b: ['1.3.c', '1.3.d', '1.3.e']",149.39000941079863,85.59702173211592,127.5591601443121,264.5889794841158,6.014984753922111,21.566623422902765,10.910462633497675,0.7883159783975141
"1b-1c: ['1.1.c', '1.1.d', '1.1.e']",4656.989654763589,2692.8277795688014,5380.341890424994,11243.529736596163,1189.051266213144,276.80197432363923,159.36185366986044,53.3937650833774
"1b-1e: ['4.1.c', '4.1.d']",10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0
1b-3b: ['5.5.c'],8785.54558065246,5058.949229453373,8596.130811874127,17940.52749350441,385.3582436867633,1044.0331815899697,552.0019118064661,27.710378262726636
1d-2e: ['3.3.a'],489.85085236904223,225.1793904671581,53.13411586629483,33.39866673211638,5.719919981776837,468.2946232727611,200.7722234712037,8.415711150507285
"2a-1a: ['2.1.a', '2.1.b', '2.1.c', '2.3.b']",2.485916725764953,0.029375583830553435,0.04548494822247514,0.007182858520237042,0.0006459291381554933,7.999476501448606,0.018905781992745434,0.0006301927331479934
"2a-2a: ['2.1.a', '2.1.b', '2.1.c']",7.4881971116485575,0.08848651623507812,0.10774440368141451,0.014940180458406786,0.0017667211902410703,30.31335057882623,0.07164194032839481,0.0023880646778467645
"2a-3a: ['2.1.a', '2.1.b', '2.1.d']",25427.097207111317,661.3101552558162,560.4237409877929,6.406762482582803,11.022483507799764,25429.734245463173,661.8608993818133,22.06202999543353
"2b-1a: ['3.3.c', '3.3.e']",7293.049881333367,3703.7791600728624,727.2681612867742,146.11072587753222,89.24725383976296,7291.8048260189835,3698.518160983944,176.93974006199255
2b-2a: ['3.3.b'],489.85085236904223,225.1793904671581,53.13411586629483,33.39866673211638,5.719919981776837,468.2946232727611,200.7722234712037,8.415711150507285
2b-3a: ['3.5.a'],408.4485189833388,232.10925592044737,187.644109111412,373.28214914275003,12.12819985735308,103.55990848271335,56.99906282726863,3.0264000361236314
2b-3b: ['3.6.a'],66.50308417405391,38.02722036101709,16.992941675227037,28.71728415198981,1.604652698498954,31.566883463254484,17.569605167402173,0.9495134252175474
"2c-1a: ['5.5.a', '5.6.a']",1396.6035247404043,799.6621741941526,1239.2750399332176,2573.2908030854833,57.2946476963466,196.01594502202462,99.87190665080516,4.8010584704556285
2e-1b: ['3.4.a'],1891.1528252594467,1062.1676913609217,236.53572159084217,237.61966817842807,33.301548177121795,1674.1452058444654,937.0109770624942,51.10763511039881
