,LISACBE,TwinLISA,LISAGrande,LISAU,GoBIGLISA,ALIA,ALIAtwin,GoBIGALIA
XX1.1.bXX,,,,,5356.580113926227,,,228.41258624546415
1.1.c,4656.989654763589,2692.8277795688014,5380.341890424995,11243.529736596163,1189.051266213144,276.80197432363923,159.36185366986044,53.3937650833774
1.1.d,49772.622444653796,28729.028894880852,48492.18265273854,101389.65184289048,2188.0056801934056,5826.011910874436,3119.066515076804,159.1509123465558
1.1.e,284314.7460367609,164238.40823159757,302516.9614623524,631784.8899168926,13204.544452151802,26690.51781736049,14805.279101254453,795.7591484411042
1.1.f,341.0526015521911,241.16060729886797,397.8738892524348,1304.622673427527,355.6094066999374,19.876171124653673,14.05457538626686,14.05457538626686
1.1.g,139709.68964290767,80784.83338706405,161410.25671274983,337305.89209788485,6884.850084898557,8304.059229709177,4780.855610095813,274.48253713975623
1.1.h,2328.4948273817945,1346.4138897844007,2690.1709452124974,5621.764868298082,1189.051266213144,138.40098716181961,79.68092683493022,53.3937650833774
1.1.i,1148.732349586162,812.2764341607309,1327.1408575522578,4351.233319411206,1189.051266213144,75.51018672707532,53.3937650833774,53.3937650833774
XX1.2.bXX,1317950.4381323282,15573.946469131635,149538.22790596046,,4469.329288073161,,,248.5059196105899
1.2.c,69.43262510097537,49.09628004448299,80.54988585230416,264.106603230467,72.09340246499137,4.3552239639068455,3.079608398464686,3.079608398464686
1.2.d,52459.84995291933,30297.08320828178,59655.684647859984,124410.4198525759,2546.634782351807,3598.7718976212727,2054.8485630754726,116.11753599164808
1.2.e,874.3308325486555,504.95138680469637,994.2614107976664,2073.506997542932,292.37069065665247,59.97953162702122,34.24747605125788,16.256922930915298
XX1.3.bXX,,,,,76.86229049151142,,,13.37096285537039
1.3.c,149.39000941079863,85.59702173211592,127.5591601443121,264.5889794841158,6.014984753922111,21.566623422902765,10.910462633497675,0.7883159783975141
1.3.d,3932.1179018205185,1970.0004987278062,1355.2062223946227,2415.6752703324464,94.510054804579,1402.231802857001,342.18804732738005,12.152857617952353
1.3.e,16224.7167947288,8754.707719178261,7545.46572444184,14749.423126604188,474.63099072620514,4074.083284508544,1480.921124937897,57.55015976071978
1.3.f,4481.700282323959,2567.9106519634774,3826.774804329363,7937.669384523473,180.4495426176633,646.9987026870829,327.31387900493024,15.615970321536953
1.3.g,57.974864678952905,39.870210765461465,67.63678695141562,216.78433552813954,59.01434086100695,3.030327714270315,2.142765275978071,2.142765275978071
2.1.a,,,,,7519954.34833633,190914505928.59427,451199409.2473013,15039980.308243377
2.1.b,,,,,125332.57247227216,3181908432.143238,7519990.154121688,250666.33847072296
2.1.c,7.4881971116485575,0.08848651623507812,0.10774440368141451,0.014940180458406786,0.0017667211902410703,30.31335057882623,0.07164194032839481,0.0023880646778467645
2.1.d,55963.448054967135,661.3101552558162,560.4237409877929,6.406762482582803,11.022483507799764,280032.7774804519,661.8608993818133,22.06202999543353
2.1.e,43743.91061482537,516.913269372561,439.4527525940412,10.230235557089129,8.619327418561312,218976.7489838217,517.5347824588472,17.25115942059549
2.1.f,224.64591334945672,2.654595487052344,3.232332110442435,0.4482054137522035,0.053001635707232105,909.4005173647869,2.149258209851844,0.07164194033540294
XX2.2.bXX,7.45775017729486,0.0881267514916603,0.13645484466742538,0.021548575560711124,0.0019377874144664792,23.99842950434581,0.05671734597823629,0.0018905781994439804
2.3.b,2.485916725764953,0.029375583830553432,0.045484948222475126,0.00718285852023704,0.000645929138155493,7.999476501448603,0.01890578199274543,0.0006301927331479934
2.3.c,180.80881071707626,2.1365840963894316,4.301136498833932,0.7455234973222273,0.052074473059355156,389.4542039251676,0.9204279676350458,0.030680932257512943
XX3.1.aXX,277024441.1106006,150515647.4106536,27440810.573902052,1515892.30864872,3919202.5185377463,277053632.08644164,150517504.58018887,7838498.764041852
3.1.b,1844832816.5886562,874519640.4435196,181436614.2339867,8187459.167111487,19640323.940592974,1845148772.2211127,874525725.234108,39280912.85597224
XX3.2.aXX,,,,35776.42055393465,47691.56324089835,1211900769.0860424,2864155.9132363126,95471.86377454374
3.2.b,10660632.493175115,6087495.220856475,1059019.6932071648,65409.49485271481,172002.60969097444,10666964.22748606,6090675.44312252,344176.9614659584
3.3.a,489.85085236904223,225.1793904671581,53.134115866294835,33.39866673211638,5.719919981776837,468.2946232727611,200.7722234712037,8.415711150507285
3.3.b,489.85085236904223,225.1793904671581,53.134115866294835,33.39866673211638,5.719919981776837,468.2946232727611,200.7722234712037,8.415711150507285
3.3.c,7293.049881333367,3703.7791600728624,727.2681612867742,146.11072587753222,89.24725383976296,7291.804826018983,3698.5181609839437,176.93974006199255
XX3.3.dXX,11211.784136008533,5791.223982153951,1116.770935699461,198.53481041690515,141.78654820074678,11218.872733550064,5791.2896149652315,282.4668168551199
