LISACBE,LISASciRDv1,TwinLISA,LISAGrande,LISAU,GoBIGLISA,ALIA,ALIAlowL
,,752.130180577581,,,37.45532451850313,,
13226.829484555503,19122.770961153332,18551.831996708,14086.900491296778,26773.815697704315,912.8931458833423,916.2213483091278,916.8947213132524
160443.12898770862,231939.5524790619,225036.08876803707,128704.04240896557,243231.7867925759,9131.637968107225,23346.639779263536,23312.629039159907
861995.7019014456,1246214.9841631835,1209027.413730012,792742.1721870046,1503223.6352646821,54016.779073732214,102585.53879252399,102605.45559923022
,,977.7425211314213,,,47.55739955778245,,
,,97.72140018527357,,,3.800339733255639,,
508.6281881669339,734.9235466903435,713.3973191898334,334.27950985589365,632.8521075231944,26.375048507152524,86.49586833744975,85.8353624715708
13752.473906184538,20115.7503382713,19289.09613180971,4117.760299187593,5860.721730507531,566.8974100314539,2617.1077739753323,2436.184367325425
62284.38458051296,89743.5069780633,87359.51726793262,21510.842751748685,35580.86378829172,2590.214184068959,11389.941320370213,11747.00882609871
,,1095.8838143074395,,,22.565140542340394,,
,,18.26473023845733,,,0.37608567570567325,,
8.492333962479762,10.381627750223334,0.10966719396652043,0.13782543008476814,0.012301638073976688,0.002258136868553473,22.55827828643024,19.248438918613914
27418.94143840855,28412.277459836867,690.3808862936156,533.0090038982828,7.961172043148518,11.686838018522563,43514.66052120022,62303.32856941555
30120.801333821088,31832.80396345557,563.9705208619379,460.0931590379222,11.261687453147715,9.555216750954608,59891.055636553094,70598.89530518903
8.75534023932197,11.103666691906561,0.1102375495948174,0.1576188591608741,0.013981192768134537,0.0024058609016528233,20.116950168049925,17.257766506435342
2.9184467464406567,3.70122223063552,0.03674584986493913,0.05253961972029136,0.004660397589378179,0.0008019536338842743,6.705650056016641,5.752588835478447
,,,,,,,
,,,,,,,
,,,,,,,
,,41.91646108779872,,,0.9634920999729989,,
2.2378426910638884,2.9104563874460556,3.138778018432537,0.38416064675076056,0.2627413778757952,0.07214797589887546,0.9785384538313239,0.8809079600324393
171.79134219807833,204.92496959009546,240.9529904856731,21.759875201231573,11.94230310185267,4.782130010827434,141.33741985333822,121.27449682807642
239.9251870751969,278.28198892545146,336.5169081218689,27.714209391950938,14.36584501539073,6.408793860240339,212.752239513027,184.78162778504472
577.2518162910208,635.57273989543,809.6482024002936,57.15957865796531,22.27244920483193,14.294570346042661,561.8491758410943,511.90609599800587
24.137914967701747,31.433680539033272,33.85562229818637,4.171288736713648,3.2020850254096933,0.778056499957893,10.956023128397192,9.768551600965582
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
3.236881489095978,4.679309751520562,4.540020845440016,2.595813189609536,4.906141563553151,0.18592894722771025,0.46898205011119337,0.46832257034339286
43.863504212573616,63.32347852585039,61.52255624741698,25.582422722606957,47.9856513436725,2.1525158776010174,7.910590724333168,7.924936121201931
95.77196791869731,138.12554247921983,134.32890027775917,36.50056329566742,63.26804790531234,4.071332473969098,17.99783538009088,18.517388533427198
5259.85200156884,6596.710606620659,162.7037694211451,333.89580064616456,114.31502376540355,5.4106758719236625,3860.4895704722576,3637.439967453933
8.629011690450646,12.833051904178676,12.102974137966624,2.647430341269837,3.787679200719525,0.3600028131579603,1.576351498544633,1.4651979371227184
16.6464128470003,23.385448780939278,20.84669844415094,4.906610721058976,6.387753578761516,0.6719653346408612,11.225984979945359,9.581655190579614
7.127294904667175,10.679575917272935,9.996679689321775,2.1353136411838585,2.8422974769121456,0.3010952484886877,1.762898314303414,1.54378327237173
18.020243090722136,22.13983449686887,17.19325118046131,3.9867071651194013,5.002232632614703,0.5491257224821345,14.656501198214256,12.418474921463531
3.863694333940015,4.532664546801269,2.984104199947608,0.6733395888569231,0.8393704090913533,0.09446800010539316,3.426002668370471,2.8863828205877273
31.799066734383427,35.746609660877844,4.637429660536078,2.8602990284188436,1.8678273508521304,0.14970382047272632,28.87245933576084,24.82984843492111
917.0796348682821,1325.8726450875404,1286.2876423669595,963.054683144001,1830.1132010054534,62.639483302101105,69.87739365348152,69.92797201037439
1165.3401121610977,1684.7920599994063,1634.495553532425,1197.52818050384,2274.830785791404,78.56831355012804,103.7669413094529,103.83732365296751
7.2261054711701895,10.444415235376622,10.13527050062723,5.323140341077517,10.078472860480396,0.39542633952807643,1.1131013944791237,1.1146211232454861
2.3592187394956934,2.563127150840487,2.332630659546805,0.22076011221912908,0.06082933302172705,0.04042792580280078,2.3417412626810643,2.19922963464316
